title,categories,note
Astérix et Obélix : L'Empire du milieu,"Aventure, Comédie","2,4"
Alibi.com 2,Comédie,"2,9"
Ant-Man et la Guêpe : Quantumania,"Action, Aventure, Science fiction","2,4"
Sacrées momies,"Animation, Famille, Comédie, Aventure","3,7"
Pattie et la colère de Poséidon,"Animation, Aventure, Fantastique, Famille","2,9"
Maurice le chat fabuleux,"Animation, Fantastique, Aventure, Famille","3,5"
Un homme heureux,Comédie,"3,1"
The Fabelmans,"Biopic, Drame","4,9"
Les Choses simples,Comédie,"2,7"
"Zodi et Téhu, frères du désert","Comédie, Aventure, Famille","2,6"
Avatar : la voie de l'eau,"Science fiction, Aventure, Fantastique, Action","4,1"
Titanic,"Drame, Romance","4,9"
Babylon,"Historique, Drame","4,0"
Le Chat Potté 2 : la dernière quête,"Animation, Comédie, Aventure, Famille","3,1"
Juste ciel !,Comédie,"1,8"
Tár,"Drame, Musical","4,2"
La Grande magie,Comédie dramatique,"3,0"
La Famille Asada,Comédie,"3,8"
Les Têtes givrées,Comédie dramatique,"3,0"
Knock at the Cabin,"Thriller, Epouvante-horreur","3,3"
À la belle étoile,"Comédie, Drame","2,9"
Marlowe,"Thriller, Policier","2,5"
Divertimento,"Drame, Biopic","3,0"
L'Astronaute,Comédie dramatique,"3,5"
Titina,"Animation, Aventure, Famille","3,6"
Vaincre ou mourir,"Historique, Action","1,3"
Piro Piro,"Animation, Famille","3,3"
Interdit aux chiens et aux Italiens,Animation,"3,9"
Dounia et la princesse d’Alep,"Animation, Fantastique, Aventure","3,7"
Arrête avec tes mensonges,Drame,"3,0"
Le Grand cirque,Comédie,"3,0"
La Femme de Tchaïkovski,"Drame, Biopic","3,9"
La Montagne,"Drame, Fantastique","3,9"
Missing : Disparition inquiètante,"Thriller, Drame","2,2"
Les Gardiennes de la planète,"Documentaire, Famille","3,4"
Pour la France,Drame,"3,9"
Aftersun,Drame,"4,0"
Un petit Miracle,Comédie,"2,8"
Pompon Ours,"Animation, Famille","2,9"
Emmett Till,"Biopic, Drame","3,1"
Mayday,"Action, Thriller","3,3"
Le Pire voisin au monde,"Comédie dramatique, Drame, Comédie","2,6"
Le Retour des hirondelles,Drame,"4,1"
Louise et la Légende du Serpent à Plumes,"Animation, Aventure, Famille","2,9"
Retour à Séoul,Drame,"3,6"
Le Nid du Tigre,"Aventure, Famille","2,7"
Un petit frère,Drame,"3,5"
Nos soleils,Drame,"3,9"
L'Immensita,Drame,"3,2"
Tirailleurs,"Drame, Historique, Guerre","3,3"
Youssef Salem a du succès,Comédie,"3,6"
La Guerre des Lulus,"Aventure, Famille, Historique","2,8"
Projet Wolf Hunting,"Epouvante-horreur, Action","2,9"
Le Marchand de sable,Drame,"3,5"
Petites,Drame,"3,4"
Les Banshees d'Inisherin,"Drame, Comédie","3,8"
Ernest et Célestine : le voyage en Charabie,"Animation, Famille","3,7"
"La Romancière, le film et le heureux hasard","Comédie dramatique, Drame, Comédie","3,8"
Neneh Superstar,"Comédie dramatique, Drame, Comédie","2,9"
Pat et Mat en hiver,"Animation, Famille","3,3"
Nostalgia,Drame,"3,6"
L'Innocent,Comédie,"4,1"
Chevalier Noir,Drame,"3,5"
Le Secret des Perlims,"Animation, Famille, Aventure","3,4"
La Nuit du 12,"Thriller, Policier","4,4"
"Ashkal, l'enquête de Tunis",Thriller,"3,7"
Inséparables,"Animation, Famille","3,6"
Le Clan,Comédie,"3,3"
Joyland,"Drame, Romance","3,9"
L'Homme le plus heureux du monde,"Drame, Romance","3,1"
Vive le vent d'hiver,"Animation, Famille","2,8"
La Tour,"Drame, Fantastique, Epouvante-horreur","2,8"
Tu choisiras la vie,Drame,"2,9"
Creed - L'Héritage de Rocky Balboa,Drame,"3,6"
Moonage Daydream,"Documentaire, Musical","3,1"
Tant que le soleil frappe,Drame,"2,9"
Les Cyclades,Comédie,"3,1"
Cinema Paradiso,Comédie dramatique,"3,2"
Moi quand je me réincarne en Slime - Le film : Scarlet Bond,"Animation, Aventure, Fantastique","3,5"
Les Huit Montagnes,Drame,"3,0"
Le Tigre qui s'invita pour le thé,"Animation, Famille","4,0"
La Reine des neiges II,"Animation, Musical","3,3"
Tempête,"Comédie dramatique, Famille, Drame, Comédie","3,0"
Ma vache et moi,"Comédie, Western","3,7"
"Le Pharaon, le Sauvage et la princesse",Animation,"3,7"
Un hérisson dans la neige,"Animation, Famille","3,7"
Tel Aviv – Beyrouth,Drame,"3,1"
Icare,Animation,"3,7"
Creed II,"Drame, Action","2,9"
Pacifiction - Tourment sur les îles,"Drame, Espionnage","4,0"
Samouraï Academy,"Animation, Comédie, Arts Martiaux, Famille","3,1"
Comedy Queen,"Comédie, Drame","3,0"
Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?,"Animation, Famille, Comédie, Aventure","3,9"
Chœur de Rockers,"Comédie, Musical","3,3"
Sois belle et tais-toi !,Documentaire,"3,9"
Godland,Drame,"4,0"
Le Piège de Huda,"Thriller, Espionnage","2,8"
Goodbye,"Animation, Action, Aventure","3,2"
Vivre,Drame,"3,7"
Pulse,"Thriller, Drame","2,7"
En corps,"Comédie dramatique, Drame, Comédie","3,4"
Slava Ukraini,Documentaire,"2,5"
Animals,"Drame, Policier","2,1"
Domingo et la brume,"Drame, Fantastique","3,1"
L'école du bout du monde,"Aventure, Drame, Famille","3,5"
Astrakan,Drame,"3,4"
Brillantes,Comédie dramatique,"2,9"
Selfiee,"Comédie dramatique, Action, Bollywood","2,8"
La Petite Bande,Comédie,"3,4"
Caravage,"Biopic, Historique","3,1"
"Simone, le voyage du siècle",Biopic,"3,1"
Radio Metronom,Drame,"3,6"
Traces,Drame,"3,5"
L'Envol,"Drame, Historique, Romance","3,2"
La chance sourit à madame Nikuko,"Animation, Drame","4,0"
Jet Lag,Documentaire,"3,5"
Gran Torino,"Drame, Thriller","4,7"
Les Secrets de mon père,Animation,"3,3"
Les Survivants,Thriller,"3,5"
Professeur Yamamoto part à la retraite,Documentaire,"4,0"
Amore Mio,Drame,"2,9"
Reste un peu,Comédie,"3,7"
Yuku et la fleur de l’Himalaya,"Animation, Famille, Comédie musicale","3,9"
